I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,Pleth,Resp,Temp
74,40,-34,-57,54,3,82,333,391,147,232,136,-655,-197,365
46,77,32,-62,7,54,68,323,383,164,274,192,-666,-184,365
20,34,14,-27,3,24,64,265,322,116,253,222,-674,-170,365
35,23,-12,-29,24,6,2,198,246,58,228,164,-682,-157,365
1,-4,-5,2,3,-4,-19,161,212,51,222,124,-690,-144,365
5,38,33,-21,-14,35,72,135,197,63,210,143,-698,-128,365
2,45,43,-24,-21,44,29,107,178,49,215,159,-703,-111,365
15,30,15,-23,0,23,44,89,119,37,215,153,-711,-94,365
-111,-74,37,92,-74,-18,101,67,59,-31,191,138,-722,-79,365
-67,-29,38,48,-52,4,77,51,79,-75,166,110,-734,-67,365
-58,-3,54,30,-56,25,83,49,55,-59,140,79,-750,-52,365
-133,-80,54,106,-93,-13,70,20,11,-92,93,76,-764,-45,365
-29,29,58,-1,-43,43,69,22,49,-99,130,92,-776,-31,365
-124,-34,91,79,-107,28,62,29,72,-78,151,93,-775,-21,365
-85,-11,74,48,-79,31,72,32,69,-64,136,89,-755,-11,365
-93,-20,73,56,-83,26,56,37,59,-69,140,76,-700,3,365
-79,-12,67,45,-73,27,33,42,75,-94,136,104,-596,16,365
21,80,58,-51,-19,69,5,50,101,-77,167,131,-440,30,365
-71,1,72,35,-72,36,-60,29,80,-35,151,112,-236,43,365
-45,41,85,1,-65,63,-36,35,75,-14,136,107,2,61,365
-39,47,86,-4,-63,66,-42,55,106,-31,187,141,254,83,365
-74,9,82,32,-78,45,-75,29,108,-44,196,165,498,110,365
-26,55,81,-15,-54,68,-40,30,89,-10,169,151,711,137,365
10,89,79,-50,-34,84,-36,54,76,-24,168,155,883,168,365
-27,53,79,-13,-53,66,-15,49,82,-21,161,145,1010,197,365
-2,65,67,-32,-34,65,-8,40,92,-16,163,147,1093,228,365
-17,48,65,-15,-41,56,-51,16,64,-58,152,146,1142,257,365
-52,2,53,25,-53,27,-28,-1,46,-54,128,123,1163,292,365
21,59,38,-41,-8,48,-19,-29,36,-55,120,121,1165,324,365
-28,31,59,-2,-44,45,-46,-43,25,-57,106,102,1155,362,365
3,54,51,-29,-24,53,-22,-34,22,-52,129,128,1133,394,365
24,60,36,-42,-6,48,-48,-37,16,-64,153,160,1107,424,365
-2,37,39,-18,-21,38,-107,-27,14,-81,150,154,1073,452,365
30,61,32,-46,-1,46,-154,-40,6,-80,137,143,1037,478,365
-5,26,30,-11,-17,28,-166,-67,10,-78,117,126,998,509,365
32,66,34,-49,-2,50,-140,-63,14,-76,118,128,957,542,365
10,43,33,-27,-12,38,-159,-60,-9,-74,100,110,914,575,365
-41,5,45,17,-43,25,-159,-59,-31,-75,90,94,873,599,365
-27,38,65,-6,-46,51,-135,-52,-14,-46,106,104,830,619,365
-17,30,47,-7,-32,38,-176,-67,-9,-71,84,92,787,638,365
18,47,30,-33,-6,38,-185,-72,-30,-103,62,85,744,653,365
-61,-18,43,40,-52,12,-165,-63,-45,-88,73,115,698,672,365
-76,-36,40,55,-58,2,-176,-55,-38,-95,70,113,648,683,365
23,52,29,-38,-3,41,-175,-46,-25,-95,82,109,595,698,365
7,12,4,-10,2,8,-186,-67,-48,-95,67,99,537,714,365
6,16,10,-11,-2,13,-194,-72,-54,-94,46,76,474,724,365
-30,8,38,11,-34,23,-184,-60,-39,-86,84,119,408,737,365
-74,-36,38,55,-55,1,-178,-60,-42,-85,72,115,341,745,365
33,49,16,-41,9,32,-166,-60,-42,-81,58,99,271,751,365
73,38,-35,-55,54,2,-175,-60,-46,-78,81,124,203,762,365
61,49,-12,-55,36,18,-185,-58,-72,-76,70,104,139,771,365
32,48,16,-40,7,32,-164,-52,-77,-75,59,90,81,787,365
2,11,8,-7,-3,9,-166,-36,-74,-88,48,81,31,801,365
89,73,-16,-80,52,28,-185,-60,-74,-81,34,73,-12,817,365
61,66,5,-63,28,35,-154,-36,-29,-54,71,102,-44,838,365
39,97,58,-68,-9,77,-114,19,20,-12,114,131,-65,857,365
65,95,30,-80,18,62,-111,-10,13,1,101,125,-75,871,365
83,99,16,-91,33,57,-96,-17,-2,-9,97,120,-77,885,365
97,123,26,-111,36,74,-144,-38,1,3,88,116,-71,894,365
124,138,14,-131,55,75,-181,-53,-8,-14,85,112,-59,904,365
175,134,-41,-154,108,46,-139,-51,-40,-23,69,105,-45,914,365
60,35,-24,-48,42,5,-170,-95,-88,-52,31,92,-29,924,365
50,44,-6,-46,27,19,-181,-81,-125,-95,19,72,-11,934,365
-8,-3,6,6,-7,1,-194,-80,-120,-74,6,75,9,944,365
-77,-29,48,53,-62,9,-214,-107,-117,-93,-24,75,19,954,365
11,39,27,-25,-8,33,-185,-109,-127,-96,-21,70,21,962,365
-38,-9,29,24,-34,10,-168,-106,-109,-76,-14,59,17,964,365
-41,-18,23,29,-32,3,-156,-96,-136,-97,-31,31,9,964,365
-50,-44,6,47,-28,-19,-149,-89,-98,-52,-4,38,-4,957,365
-19,-65,-47,42,14,-55,-142,-66,-114,-102,-64,12,-20,951,365
63,90,27,-76,18,58,-147,91,70,59,68,102,-37,941,365
220,113,-107,-167,163,3,-45,559,627,396,344,206,-57,931,365
681,397,-285,-539,482,56,-311,501,1023,1086,1158,733,-78,920,365
826,598,-228,-712,527,185,-872,-391,637,1264,1581,1119,-101,912,365
363,11,-352,-187,357,-170,-770,-794,-554,-145,236,304,-123,897,365
6,-209,-215,102,110,-212,-411,-510,-828,-662,-430,-160,-147,885,365
-19,-63,-43,41,12,-53,-260,-210,-338,-248,-158,-49,-172,868,365
-41,-79,-39,60,-1,-58,-119,-64,-234,-222,-172,-84,-195,844,365
-56,-58,-2,58,-27,-30,-119,-36,-149,-122,-92,-45,-217,824,365
-24,-48,-24,36,0,-36,-135,-26,-139,-136,-125,-55,-242,804,365
-46,-52,-6,49,-19,-29,-101,-21,-128,-116,-120,-41,-265,782,365
-29,-40,-12,34,-8,-26,-84,-4,-100,-104,-117,-47,-287,758,365
-32,-40,-8,36,-11,-24,-74,9,-100,-117,-125,-41,-309,739,365
-29,-32,-3,31,-13,-17,-69,10,-88,-105,-115,-47,-332,718,365
27,21,-6,-23,17,7,-37,0,-87,-99,-125,-52,-354,699,365
-72,-68,4,70,-38,-31,-72,-9,-80,-82,-110,-31,-376,678,365
-58,-49,9,53,-33,-20,-52,26,-92,-65,-108,-18,-399,662,365
11,8,-3,-9,7,3,-43,49,-74,-50,-114,-16,-419,649,365
-30,-32,-2,31,-13,-17,-89,50,-75,-64,-129,-51,-438,635,365
-24,-37,-13,31,-6,-25,-60,50,-73,-47,-122,-45,-460,626,365
-7,-36,-29,22,11,-32,-44,50,-41,-36,-118,-40,-479,614,365
15,-8,-23,-3,19,-16,-24,107,-9,-7,-106,-31,-499,611,365
17,-9,-26,-4,22,-17,-61,130,14,18,-92,-31,-518,611,365
45,21,-24,-33,35,-2,-76,141,47,48,-77,-51,-536,615,365
18,-8,-26,-5,22,-17,-11,182,88,92,-59,-36,-553,617,365
31,7,-24,-19,27,-8,-18,200,111,92,-42,-34,-567,622,365
93,66,-27,-79,59,20,-31,264,173,137,-39,-24,-583,622,365
45,23,-22,-33,33,0,-11,290,224,184,-9,13,-595,625,365
94,63,-31,-78,62,16,-44,296,231,193,39,34,-605,628,365
176,144,-32,-160,104,56,-64,316,258,231,57,57,-618,633,365
136,141,4,-139,66,72,-45,286,273,251,76,79,-626,638,365
130,134,3,-132,63,68,-37,274,243,227,53,57,-638,641,365
166,136,-30,-151,98,53,-33,264,208,208,35,39,-646,645,365
167,135,-33,-151,100,51,-20,230,178,201,39,38,-652,643,365
120,117,-3,-118,61,56,-26,182,128,187,26,27,-660,639,365
128,134,6,-132,61,70,-41,136,84,165,8,25,-665,637,365
123,131,7,-127,58,69,-55,83,26,125,-26,8,-673,625,365
48,57,9,-53,19,33,-95,26,-42,91,-54,-12,-680,612,365
64,76,12,-70,25,44,-115,-21,-71,77,-67,-21,-689,597,365
47,64,18,-56,14,41,-120,-71,-96,59,-63,-20,-702,577,365
45,44,-1,-44,23,21,-83,-91,-130,35,-77,-22,-715,554,365
51,25,-26,-37,38,0,-69,-118,-161,30,-118,-52,-729,526,365
-8,-6,2,7,-5,-2,-93,-135,-177,38,-136,-56,-740,501,365
3,35,32,-19,-14,33,-82,-117,-174,30,-134,-65,-739,468,365
46,48,2,-47,22,24,-80,-113,-175,30,-132,-83,-721,431,365
28,21,-7,-24,17,7,-75,-107,-175,26,-129,-77,-668,398,365
-2,1,3,0,-3,2,-70,-104,-174,22,-130,-75,-570,358,365
-4,3,6,0,-5,5,-65,-101,-172,46,-130,-71,-420,318,365
-36,-27,9,32,-22,-9,-49,-96,-165,47,-130,-71,-225,282,365
26,24,-2,-25,14,11,-21,-95,-164,62,-129,-65,3,244,365
32,22,-10,-27,21,6,-23,-84,-156,67,-116,-65,242,203,365
15,29,15,-22,0,22,-30,-84,-130,77,-106,-14,474,166,365
23,68,45,-46,-11,56,-24,-84,-116,129,-104,11,678,129,365
